Country ID, X-coordinate, Y-coordinate
0, 40, 53
1, 80, 15
2, 24, 47
3, 1, 55
4, 23, 90
5, 20, 24
6, 56, 33
7, 55, 77
8, 67, 79
9, 13, 40
10, 1, 87
11, 0, 16
12, 25, 14
13, 63, 87
14, 33, 71
15, 98, 61
16, 84, 28
17, 1, 46
18, 43, 41
19, 17, 56
20, 96, 51
21, 15, 18
22, 35, 18
23, 96, 35
24, 33, 10
25, 30, 38
26, 74, 68
27, 80, 5
28, 20, 29
29, 55, 98
30, 4, 79
31, 96, 65
32, 94, 10
33, 3, 80
34, 53, 58
35, 16, 74
36, 20, 65
37, 63, 64
38, 59, 45
39, 84, 63
40, 90, 63
41, 0, 83
42, 38, 14
43, 38, 12
44, 62, 37
45, 63, 68
46, 65, 64
47, 69, 45
48, 2, 34
49, 64, 15
50, 28, 18
51, 7, 71
52, 12, 41
53, 49, 70
54, 37, 86
55, 97, 79
56, 62, 5
57, 14, 88
58, 32, 77
59, 87, 17
60, 63, 68
61, 6, 24
62, 5, 67
63, 23, 8
64, 46, 6
65, 7, 51
66, 97, 72
67, 85, 23
68, 0, 72
69, 56, 68
70, 74, 0
71, 89, 5
72, 91, 48
73, 11, 40
74, 47, 63
75, 77, 18
76, 90, 18
77, 48, 6
78, 76, 44
79, 33, 95
80, 94, 29
81, 72, 0
82, 45, 86
83, 24, 1
84, 40, 19
85, 25, 14
86, 76, 68
87, 24, 90
88, 9, 50
89, 45, 46
90, 58, 48
91, 58, 47
92, 57, 47
93, 1, 32
94, 66, 18
95, 63, 15
96, 33, 6
97, 10, 86
98, 42, 40
99, 38, 95
100, 80, 40
101, 63, 72
102, 95, 65
103, 91, 43
104, 25, 14
105, 46, 66
106, 39, 95
107, 30, 46
108, 98, 67
109, 44, 43
110, 16, 5
111, 7, 34
112, 69, 41
113, 52, 55
114, 85, 94
115, 47, 22
116, 89, 35
117, 87, 87
118, 91, 51
119, 1, 92
120, 95, 47
121, 38, 35
122, 61, 76
123, 37, 23
124, 82, 23
125, 42, 45
126, 15, 94
127, 32, 26
128, 27, 52
129, 58, 74
130, 88, 76
131, 93, 85
132, 45, 92
133, 7, 4
134, 33, 89
135, 52, 91
136, 71, 53
137, 45, 9
138, 23, 82
139, 45, 47
140, 79, 19
141, 42, 70
142, 21, 76
143, 62, 73
144, 84, 45
145, 25, 76
146, 12, 77
147, 51, 86
148, 31, 4
149, 40, 26
150, 53, 96
151, 67, 40
152, 50, 12
153, 24, 72
154, 21, 19
155, 54, 61
156, 10, 3
157, 58, 76
158, 53, 29
159, 13, 8
160, 63, 79
161, 95, 72
162, 38, 27
163, 6, 56
164, 57, 55
165, 78, 62
166, 47, 18
167, 32, 61
168, 53, 19
169, 45, 95
170, 22, 20
171, 79, 24
172, 88, 87
173, 64, 54
174, 20, 99
175, 49, 92
176, 3, 10
177, 44, 69
178, 29, 88
179, 41, 9
180, 88, 92
181, 60, 91
182, 63, 20
183, 27, 13
184, 13, 48
185, 5, 5
186, 51, 78
187, 58, 47
188, 84, 31
189, 60, 45
190, 31, 41
191, 67, 17
192, 68, 40
193, 13, 45
194, 30, 35
195, 40, 68
196, 82, 23
197, 41, 68
198, 56, 55
199, 81, 67
200, 90, 24
201, 43, 70
202, 13, 89
203, 47, 43
204, 31, 68
205, 9, 0
206, 17, 54
207, 27, 64
208, 43, 18
209, 53, 98
210, 54, 93
211, 31, 66
212, 14, 0
213, 88, 3
214, 33, 69
215, 91, 76
216, 79, 28
217, 16, 19
218, 93, 24
219, 33, 41
220, 13, 31
221, 95, 6
222, 44, 18
223, 42, 83
224, 56, 15
225, 23, 96
226, 31, 41
227, 66, 72
228, 41, 95
229, 43, 94
230, 89, 23
231, 34, 28
232, 63, 45
233, 95, 30
234, 93, 20
235, 19, 65
236, 72, 16
237, 26, 54
238, 23, 48
239, 23, 72
240, 34, 82
241, 22, 37
242, 42, 10
243, 11, 65
244, 8, 1
245, 39, 29
246, 23, 42
247, 93, 15
248, 66, 62
249, 30, 83
250, 99, 58
251, 79, 76
252, 84, 20
253, 32, 38
254, 24, 81
255, 96, 42
256, 83, 92
257, 24, 40
258, 54, 68
259, 10, 30
260, 17, 91
261, 13, 63
262, 73, 70
263, 44, 72
264, 53, 85
265, 68, 20
266, 13, 79
267, 7, 51
268, 85, 63
269, 49, 52
270, 45, 77
271, 39, 59
272, 89, 28
273, 30, 29
274, 36, 30
275, 89, 25
276, 54, 18
277, 99, 83
278, 65, 83
279, 7, 96
280, 4, 64
281, 32, 84
282, 43, 25
283, 62, 43
284, 75, 2
285, 6, 2
286, 6, 44
287, 2, 60
288, 16, 85
289, 64, 45
290, 53, 27
291, 54, 35
292, 99, 32
293, 44, 61
294, 80, 36
295, 20, 44
296, 54, 0
297, 22, 7
298, 16, 85
299, 41, 67
300, 85, 83
301, 46, 1
302, 61, 30
303, 41, 27
304, 97, 82
305, 9, 82
306, 23, 51
307, 34, 54
308, 27, 63
309, 73, 54
310, 39, 79
311, 6, 21
312, 69, 18
313, 16, 69
314, 62, 92
315, 5, 3
316, 60, 15
317, 52, 37
318, 24, 92
319, 14, 48
320, 53, 20
321, 28, 82
322, 89, 11
323, 25, 81
324, 83, 23
325, 57, 44
326, 75, 48
327, 99, 77
328, 58, 88
329, 5, 10
330, 82, 26
331, 25, 98
332, 48, 89
333, 99, 50
334, 75, 55
335, 6, 48
336, 4, 8
337, 29, 49
338, 12, 28
339, 67, 79
340, 62, 24
341, 16, 85
342, 6, 52
343, 35, 26
344, 42, 1
345, 87, 22
346, 8, 28
347, 44, 0
348, 74, 70
349, 68, 28
350, 9, 40
351, 93, 52
352, 92, 88
353, 48, 93
354, 46, 11
355, 80, 92
356, 12, 6
357, 31, 26
358, 64, 22
359, 43, 94
360, 87, 90
361, 66, 66
362, 95, 37
363, 89, 11
364, 95, 30
365, 55, 71
366, 10, 61
367, 41, 93
368, 35, 59
369, 14, 30
370, 36, 30
371, 51, 45
372, 34, 89
373, 8, 61
374, 43, 68
375, 38, 31
376, 92, 17
377, 84, 2
378, 96, 96
379, 28, 65
380, 92, 40
381, 54, 1
382, 22, 39
383, 76, 32
384, 75, 7
385, 93, 84
386, 43, 92
387, 2, 34
388, 97, 96
389, 5, 78
390, 15, 90
391, 50, 92
392, 19, 33
393, 72, 69
394, 74, 66
395, 7, 44
396, 33, 88
397, 14, 65
398, 46, 64
399, 33, 36
400, 32, 37
401, 52, 73
402, 95, 84
403, 38, 48
404, 18, 77
405, 2, 86
406, 50, 81
407, 54, 20
408, 84, 87
409, 80, 91
410, 13, 59
411, 42, 33
412, 84, 32
413, 66, 60
414, 39, 31
415, 72, 68
416, 44, 65
417, 67, 12
418, 88, 87
419, 13, 37
420, 59, 53
421, 5, 0
422, 6, 52
423, 44, 76
424, 81, 67
425, 41, 8
426, 13, 45
427, 26, 85
428, 49, 55
429, 9, 25
430, 19, 35
431, 5, 32
432, 63, 33
433, 96, 54
434, 53, 88
435, 48, 96
436, 9, 77
437, 47, 69
438, 12, 0
439, 64, 9
440, 57, 42
441, 63, 88
442, 31, 25
443, 52, 67
444, 15, 98
445, 20, 83
446, 32, 94
447, 36, 93
448, 28, 34
449, 26, 33
450, 67, 32
451, 66, 94
452, 62, 48
453, 64, 70
454, 78, 83
455, 95, 91
456, 31, 31
457, 78, 36
458, 70, 97
459, 5, 92
460, 41, 80
461, 23, 8
462, 22, 14
463, 63, 76
464, 69, 34
465, 75, 80
466, 69, 25
467, 49, 54
468, 70, 85
469, 96, 70
470, 6, 46
471, 15, 99
472, 66, 62
473, 97, 41
474, 72, 75
475, 3, 64
476, 35, 42
477, 76, 44
478, 37, 98
479, 70, 93
480, 1, 62
481, 71, 35
482, 46, 84
483, 52, 66
484, 2, 43
485, 39, 25
486, 0, 12
487, 29, 88
488, 24, 92
489, 90, 57
490, 96, 22
491, 4, 2
492, 8, 34
493, 42, 95
494, 16, 7
495, 3, 36
496, 34, 4
497, 91, 60
498, 4, 15
499, 53, 31
500, 48, 13
501, 11, 32
502, 60, 32
503, 45, 11
504, 83, 7
505, 76, 84
506, 43, 66
507, 18, 78
508, 14, 46
509, 16, 24
510, 19, 65
511, 97, 95
512, 45, 72
513, 0, 47
514, 37, 84
515, 90, 62
516, 45, 60
517, 54, 53
518, 72, 38
519, 94, 27
520, 49, 31
521, 76, 64
522, 63, 35
523, 32, 40
524, 82, 86
525, 85, 32
526, 65, 77
527, 93, 84
528, 13, 46
529, 56, 73
530, 39, 16
531, 42, 71
532, 90, 89
533, 13, 11
534, 19, 77
535, 39, 61
536, 21, 69
537, 70, 92
538, 95, 78
539, 70, 44
540, 34, 55
541, 91, 60
542, 45, 37
543, 34, 89
544, 88, 44
545, 88, 76
546, 96, 17
547, 64, 92
548, 14, 78
549, 85, 42
550, 60, 34
551, 43, 27
552, 41, 97
553, 82, 1
554, 93, 40
555, 1, 12
556, 60, 40
557, 81, 67
558, 80, 82
559, 23, 46
560, 84, 22
561, 70, 53
562, 74, 94
563, 12, 12
564, 7, 45
565, 23, 39
566, 4, 33
567, 72, 68
568, 52, 0
569, 27, 93
570, 61, 31
571, 3, 79
572, 1, 26
573, 18, 6
574, 84, 31
575, 18, 28
576, 52, 83
577, 60, 70
578, 32, 38
579, 49, 85
580, 83, 77
581, 97, 71
582, 2, 88
583, 10, 33
584, 33, 51
585, 99, 88
586, 53, 70
587, 32, 84
588, 65, 73
589, 9, 15
590, 49, 40
591, 5, 1
592, 87, 84
593, 60, 63
594, 64, 51
595, 46, 9
596, 11, 25
597, 6, 83
598, 35, 66
599, 31, 74
600, 69, 35
601, 13, 84
602, 56, 31
603, 92, 37
604, 10, 7
605, 60, 58
606, 67, 98
607, 14, 48
608, 41, 33
609, 86, 87
610, 16, 85
611, 77, 2
612, 80, 63
613, 16, 35
614, 72, 69
615, 15, 92
616, 50, 32
617, 44, 0
618, 9, 26
619, 7, 77
620, 85, 44
621, 44, 79
622, 59, 55
623, 89, 95
624, 59, 35
625, 5, 16
626, 43, 34
627, 28, 54
628, 29, 10
629, 65, 5
630, 9, 42
631, 53, 97
632, 10, 20
633, 38, 36
634, 67, 59
635, 53, 63
636, 0, 99
637, 66, 80
638, 23, 59
639, 32, 23
640, 89, 35
641, 61, 37
642, 33, 32
643, 91, 7
644, 62, 24
645, 32, 4
646, 31, 98
647, 69, 51
648, 40, 84
649, 55, 20
650, 55, 75
651, 53, 94
652, 7, 42
653, 41, 79
654, 91, 8
655, 78, 13
656, 94, 60
657, 97, 68
658, 44, 81
659, 42, 8
660, 50, 41
661, 11, 0
662, 27, 72
663, 28, 38
664, 44, 73
665, 23, 55
666, 97, 92
667, 10, 71
668, 4, 92
669, 34, 95
670, 25, 30
671, 30, 0
672, 44, 96
673, 16, 89
674, 12, 41
675, 82, 21
676, 42, 52
677, 61, 60
678, 53, 60
679, 62, 7
680, 17, 14
681, 84, 12
682, 84, 86
683, 86, 90
684, 81, 23
685, 46, 88
686, 6, 12
687, 44, 26
688, 46, 91
689, 80, 4
690, 59, 83
691, 3, 87
692, 79, 68
693, 80, 85
694, 70, 72
695, 83, 57
696, 6, 51
697, 83, 44
698, 6, 48
699, 72, 46
700, 58, 27
701, 32, 34
702, 60, 48
703, 80, 4
704, 60, 71
705, 5, 20
706, 29, 92
707, 63, 16
708, 86, 2
709, 46, 71
710, 11, 94
711, 29, 4
712, 53, 70
713, 27, 26
714, 12, 77
715, 84, 27
716, 55, 1
717, 5, 30
718, 6, 40
719, 1, 98
720, 35, 29
721, 98, 11
722, 50, 4
723, 14, 6
724, 31, 58
725, 9, 79
726, 26, 27
727, 49, 57
728, 40, 75
729, 43, 26
730, 78, 75
731, 47, 53
732, 50, 95
733, 30, 96
734, 28, 52
735, 30, 32
736, 14, 49
737, 49, 25
738, 61, 85
739, 41, 67
740, 69, 90
741, 92, 48
742, 73, 37
743, 38, 88
744, 3, 96
745, 9, 72
746, 28, 95
747, 3, 81
748, 45, 85
749, 35, 25
750, 29, 83
751, 92, 35
752, 52, 93
753, 6, 56
754, 89, 25
755, 38, 49
756, 58, 56
757, 57, 77
758, 91, 4
759, 71, 88
760, 96, 39
761, 93, 21
762, 17, 80
763, 49, 14
764, 19, 62
765, 68, 37
766, 25, 94
767, 87, 95
768, 20, 22
769, 87, 51
770, 93, 9
771, 95, 93
772, 92, 27
773, 3, 29
774, 89, 34
775, 8, 9
776, 16, 19
777, 32, 9
778, 57, 40
779, 36, 56
780, 11, 16
781, 52, 59
782, 40, 58
783, 59, 19
784, 2, 79
785, 40, 35
786, 37, 71
787, 40, 37
788, 94, 97
789, 54, 15
790, 13, 38
791, 43, 4
792, 60, 29
793, 2, 80
794, 77, 18
795, 67, 61
796, 85, 14
797, 12, 67
798, 1, 79
799, 67, 38
800, 88, 63
801, 31, 86
802, 15, 56
803, 53, 98
804, 96, 16
805, 62, 74
806, 60, 82
807, 14, 9
808, 80, 21
809, 5, 3
810, 68, 20
811, 34, 43
812, 8, 36
813, 68, 26
814, 14, 89
815, 42, 6
816, 0, 36
817, 83, 43
818, 13, 99
819, 37, 66
820, 89, 26
821, 18, 91
822, 77, 80
823, 5, 62
824, 53, 62
825, 10, 60
826, 20, 33
827, 72, 16
828, 16, 87
829, 16, 11
830, 91, 18
831, 73, 12
832, 90, 79
833, 54, 19
834, 34, 31
835, 72, 66
836, 36, 89
837, 91, 99
838, 47, 45
839, 9, 39
840, 9, 29
841, 40, 77
842, 54, 69
843, 68, 67
844, 30, 5
845, 40, 35
846, 60, 12
847, 15, 31
848, 32, 64
849, 16, 94
850, 67, 49
851, 22, 23
852, 80, 85
853, 35, 32
854, 14, 83
855, 67, 79
856, 52, 89
857, 97, 89
858, 82, 62
859, 7, 57
860, 17, 32
861, 25, 45
862, 73, 77
863, 75, 48
864, 80, 51
865, 4, 58
866, 57, 88
867, 95, 63
868, 73, 84
869, 2, 34
870, 88, 75
871, 33, 19
872, 61, 34
873, 2, 5
874, 10, 12
875, 12, 71
876, 82, 48
877, 39, 34
878, 94, 15
879, 23, 82
880, 36, 60
881, 85, 0
882, 88, 11
883, 21, 81
884, 27, 51
885, 37, 23
886, 60, 87
887, 60, 40
888, 14, 84
889, 32, 25
890, 10, 30
891, 45, 71
892, 89, 14
893, 62, 41
894, 69, 46
895, 75, 52
896, 64, 75
897, 56, 13
898, 6, 41
899, 36, 9
900, 2, 41
901, 90, 85
902, 83, 47
903, 86, 44
904, 69, 5
905, 74, 86
906, 95, 10
907, 26, 39
908, 77, 89
909, 18, 62
910, 4, 23
911, 42, 30
912, 20, 2
913, 13, 52
914, 82, 39
915, 72, 30
916, 10, 87
917, 9, 6
918, 81, 2
919, 32, 64
920, 17, 33
921, 87, 22
922, 52, 51
923, 4, 79
924, 36, 47
925, 91, 84
926, 13, 38
927, 31, 7
928, 83, 2
929, 77, 70
930, 74, 64
931, 25, 99
932, 75, 51
933, 24, 9
934, 10, 97
935, 87, 65
936, 19, 46
937, 77, 91
938, 80, 14
939, 94, 82
940, 25, 83
941, 61, 49
942, 86, 79
943, 73, 48
944, 75, 78
945, 51, 20
946, 51, 73
947, 17, 38
948, 40, 84
949, 68, 17
950, 53, 50
951, 77, 65
952, 11, 88
953, 45, 62
954, 87, 82
955, 17, 42
956, 74, 0
957, 54, 6
958, 43, 59
959, 38, 41
960, 75, 57
961, 36, 40
962, 88, 84
963, 6, 10
964, 98, 49
965, 87, 94
